country,amount
France,6066.78
France,14571.44
France,1676.14
USA,14191.12
USA,32641.98
USA,33347.88
Australia,45864.03
Australia,82261.22
Australia,7565.08
Australia,44894.74
France,19501.82
France,47924.19
France,49523.67
Norway,50218.95
Norway,1491.38
Norway,17876.32
Norway,34638.14
USA,101244.59
USA,85410.87
USA,11044.3
USA,83598.04
USA,47142.7
USA,55639.66
USA,111654.4
USA,43369.3
USA,45084.38
Germany,10549.01
Germany,24101.81
Germany,33820.62
Germany,7466.32
USA,26248.78
USA,23923.93
USA,16537.85
USA,22292.62
USA,50025.35
USA,35321.97
Spain,36251.03
Spain,36140.38
Spain,46895.48
Spain,59830.55
Spain,116208.4
Spain,65071.26
Spain,120166.58
Spain,49539.37
Spain,40206.2
Spain,63843.55
Spain,35420.74
Spain,20009.53
Spain,26155.91
Denmark,4710.73
Denmark,28211.7
Denmark,20564.86
Denmark,53959.21
France,40978.53
France,49614.72
France,39712.1
Singapore,44380.15
Singapore,2611.84
Singapore,105743
Singapore,3516.04
USA,58793.53
USA,20314.44
USA,58841.35
USA,39964.63
USA,35152.12
USA,63357.13
USA,2434.25
USA,50743.65
USA,12692.19
USA,38675.13
Singapore,38785.48
Singapore,44160.92
Singapore,22474.17
France,18997.89
France,42783.81
France,1960.8
France,51209.58
France,33383.14
USA,11843.45
USA,20355.24
USA,28500.78
USA,24879.08
USA,42044.77
USA,22602.36
USA,5494.78
USA,44400.5
Finland,23602.9
Finland,37602.48
Finland,34341.08
Ireland,17359.53
Ireland,32538.74
USA,9658.74
USA,6036.96
USA,5858.56
USA,51152.86
USA,4424.4
USA,3879.96
USA,50342.74
USA,39580.6
France,35157.75
France,4632.31
France,36069.26
Spain,3101.4
Spain,24945.21
Spain,40473.86
USA,3452.75
USA,4465.85
Denmark,36164.46
Denmark,53745.34
USA,80375.24
France,33818.34
France,12432.32
France,14232.7
Italy,33924.24
Italy,48298.99
France,17928.09
France,26311.63
France,23419.47
France,5759.42
France,53116.99
Germany,61234.67
Germany,27988.47
Australia,27083.78
Australia,38547.19
Australia,41554.73
Australia,29848.52
Italy,37654.09
Italy,52151.81
Italy,37723.79
Australia,24013.52
Australia,35806.73
Australia,31835.36
USA,47411.33
USA,43134.04
Switzerland,47375.92
Switzerland,61402
Finland,46770.52
Finland,32723.04
Finland,16212.59
USA,42339.76
USA,36092.4
USA,8307.28
USA,41016.75
USA,52548.49
USA,85559.12
USA,46781.66
USA,7178.66
USA,31102.85
Australia,23936.53
Australia,9821.32
Australia,21432.31
USA,23333.06
USA,34606.28
Spain,31428.21
Spain,15322.93
USA,21053.69
USA,20452.5
France,18888.31
France,50824.66
France,1834.56
France,49705.52
France,13920.26
France,16700.47
France,46656.94
USA,18473.71
USA,15059.76
USA,50799.69
USA,10223.83
USA,55425.77
USA,28322.83
USA,32680.31
USA,12530.51
Austria,35826.33
Austria,6419.84
Austria,42813.83
Italy,38524.29
Italy,51619.02
France,12190.85
France,49165.16
France,25080.96
Germany,31310.09
USA,25505.98
USA,21665.98
USA,22042.37
USA,6631.36
USA,17032.29
USA,26304.13
USA,59551.38
Austria,27121.9
Austria,15130.97
Austria,8807.12
USA,38139.18
USA,32239.47
USA,27550.51
USA,1679.92
Spain,33145.56
Spain,22162.61
Spain,57131.92
USA,30293.77
USA,9977.85
USA,48355.87
Australia,9415.13
Australia,35505.63
USA,7678.25
USA,36070.47
Spain,3474.66
Spain,47513.19
USA,5899.38
USA,45994.07
USA,25833.14
USA,29997.09
USA,12573.28
USA,59265.14
USA,6276.6
